位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述
bit28,ErrorCode_App_L1[0],"""""",,bit28,ErrorCode_App_L1[1],"""""",,bit28,ErrorCode_App_L1[2],"""""",,bit28,ErrorCode_App_L1[3],"""""",,bit28,ErrorCode_App_L2[0],"""""",,bit28,ErrorCode_App_L2[1],"""""",,bit28,ErrorCode_App_L2[2],"""""",,bit28,ErrorCode_App_L2[3],"""""",,bit28,ErrorCode_App_L3[0],"""""",,bit28,ErrorCode_App_L3[1],"""""",,bit28,ErrorCode_App_L3[2],"""""",,bit28,ErrorCode_App_L3[3],"""""",,bit28,ErrorCode_App_L4[0],"""""",,bit28,ErrorCode_App_L4[1],"""""",,bit28,ErrorCode_App_L4[2],"""""",,bit28,ErrorCode_App_L4[3],"""""",,bit28,ErrorCode_App_L5[0],"""""",,bit28,ErrorCode_App_L5[1],"""""",,bit28,ErrorCode_App_L5[2],"""""",,bit28,ErrorCode_App_L5[3],""""""
bit29,ErrorCode_App_L1[0],"""""",,bit29,ErrorCode_App_L1[1],"""""",,bit29,ErrorCode_App_L1[2],"""""",,bit29,ErrorCode_App_L1[3],"""""",,bit29,ErrorCode_App_L2[0],"""""",,bit29,ErrorCode_App_L2[1],"""""",,bit29,ErrorCode_App_L2[2],"""""",,bit29,ErrorCode_App_L2[3],"""""",,bit29,ErrorCode_App_L3[0],"""""",,bit29,ErrorCode_App_L3[1],"""""",,bit29,ErrorCode_App_L3[2],"""""",,bit29,ErrorCode_App_L3[3],"""""",,bit29,ErrorCode_App_L4[0],"""""",,bit29,ErrorCode_App_L4[1],"""""",,bit29,ErrorCode_App_L4[2],"""""",,bit29,ErrorCode_App_L4[3],"""""",,bit29,ErrorCode_App_L5[0],"""""",,bit29,ErrorCode_App_L5[1],"""""",,bit29,ErrorCode_App_L5[2],"""""",,bit29,ErrorCode_App_L5[3],""""""
bit30,ErrorCode_App_L1[0],"""""",,bit30,ErrorCode_App_L1[1],"""""",,bit30,ErrorCode_App_L1[2],"""""",,bit30,ErrorCode_App_L1[3],"""""",,bit30,ErrorCode_App_L2[0],"""""",,bit30,ErrorCode_App_L2[1],"""""",,bit30,ErrorCode_App_L2[2],"""""",,bit30,ErrorCode_App_L2[3],"""""",,bit30,ErrorCode_App_L3[0],"""""",,bit30,ErrorCode_App_L3[1],"""""",,bit30,ErrorCode_App_L3[2],"""""",,bit30,ErrorCode_App_L3[3],"""""",,bit30,ErrorCode_App_L4[0],"""""",,bit30,ErrorCode_App_L4[1],"""""",,bit30,ErrorCode_App_L4[2],"""""",,bit30,ErrorCode_App_L4[3],"""""",,bit30,ErrorCode_App_L5[0],"""""",,bit30,ErrorCode_App_L5[1],"""""",,bit30,ErrorCode_App_L5[2],"""""",,bit30,ErrorCode_App_L5[3],""""""
bit31,ErrorCode_App_L1[0],"""""",,bit31,ErrorCode_App_L1[1],"""""",,bit31,ErrorCode_App_L1[2],"""""",,bit31,ErrorCode_App_L1[3],"""""",,bit31,ErrorCode_App_L2[0],"""""",,bit31,ErrorCode_App_L2[1],"""""",,bit31,ErrorCode_App_L2[2],"""""",,bit31,ErrorCode_App_L2[3],"""""",,bit31,ErrorCode_App_L3[0],"""""",,bit31,ErrorCode_App_L3[1],"""""",,bit31,ErrorCode_App_L3[2],"""""",,bit31,ErrorCode_App_L3[3],"""""",,bit31,ErrorCode_App_L4[0],"""""",,bit31,ErrorCode_App_L4[1],"""""",,bit31,ErrorCode_App_L4[2],"""""",,bit31,ErrorCode_App_L4[3],"""""",,bit31,ErrorCode_App_L5[0],"""""",,bit31,ErrorCode_App_L5[1],"""""",,bit31,ErrorCode_App_L5[2],"""""",,bit31,ErrorCode_App_L5[3],""""""
390,,,,392,,,,394,,,,396,,,,398,,,,400,,,,402,,,,404,,,,406,,,,408,,,,410,,,,412,,,,414,,,,416,,,,418,,,,420,,,,422,,,,424,,,,426,,,,428,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一级报警：仅提供警告信息，设备继续运行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二级报警：设备暂停，排除故障后恢复,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三级报警：设备停止，复位后恢复,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四级报警：设备停止，重新上电后恢复,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五级报警：设备停止，重新上电后恢复或不可恢复,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,4260,4292,4324,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,4262,4294,4326,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,4264,4296,4328,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,4266,4298,4330,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,4268,4300,4332,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,4270,4302,4334,1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,4272,4304,4336,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,4274,4306,4338,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,4276,4308,4340,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,4278,4310,4342,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,4280,4312,4344,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,4282,4314,4346,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,4284,4316,4348,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,4286,4318,4350,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,4288,4320,4352,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,4290,4322,4354,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
